Circuit: * C:\Users\diana\Desktop\UniversityITMO\Digital Design\lab 1\part_1\adder4_main.asc

WARNING: Node X1:X6:X1:X1:X1:N002 is floating.
WARNING: Node X1:X6:X1:X1:X1:N003 is floating.
WARNING: Node X1:X6:X1:X2:X1:N002 is floating.
WARNING: Node X1:X6:X1:X2:X1:N003 is floating.
WARNING: Node X1:X6:X1:X3:N002 is floating.
WARNING: Node X1:X6:X1:X3:N003 is floating.
WARNING: Node X1:X6:X2:X1:X1:N002 is floating.
WARNING: Node X1:X6:X2:X1:X1:N003 is floating.
WARNING: Node X1:X6:X2:X2:X1:N002 is floating.
WARNING: Node X1:X6:X2:X2:X1:N003 is floating.
WARNING: Node X1:X6:X2:X3:N002 is floating.
WARNING: Node X1:X6:X2:X3:N003 is floating.
WARNING: Node X1:X6:X3:X1:X1:N002 is floating.
WARNING: Node X1:X6:X3:X1:X1:N003 is floating.
WARNING: Node X1:X6:X3:X2:X1:N002 is floating.
WARNING: Node X1:X6:X3:X2:X1:N003 is floating.
WARNING: Node X1:X6:X3:X3:N002 is floating.
WARNING: Node X1:X6:X3:X3:N003 is floating.
WARNING: Node X1:X6:X5:X1:N002 is floating.
WARNING: Node X1:X6:X5:X1:N003 is floating.
WARNING: Node X1:X6:X5:X2:N002 is floating.
WARNING: Node X1:X6:X5:X2:N003 is floating.
WARNING: Node X1:X6:X5:X3:N002 is floating.
WARNING: Node X1:X6:X5:X3:N003 is floating.
WARNING: Node X1:X6:X5:X4:N002 is floating.
WARNING: Node X1:X6:X5:X4:N003 is floating.
WARNING: Node X1:X6:X5:X5:N002 is floating.
WARNING: Node X1:X6:X5:X5:N003 is floating.
WARNING: Node X1:X6:X6:X1:N002 is floating.
WARNING: Node X1:X6:X6:X1:N003 is floating.
WARNING: Node X1:X6:X6:X2:N002 is floating.
WARNING: Node X1:X6:X6:X2:N003 is floating.
WARNING: Node X1:X6:X6:X3:N002 is floating.
WARNING: Node X1:X6:X6:X3:N003 is floating.
WARNING: Node X1:X6:X6:X4:N002 is floating.
WARNING: Node X1:X6:X6:X4:N003 is floating.
WARNING: Node X1:X6:X6:X5:N002 is floating.
WARNING: Node X1:X6:X6:X5:N003 is floating.
WARNING: Node X1:X6:X4:X1:X1:N002 is floating.
WARNING: Node X1:X6:X4:X1:X1:N003 is floating.
WARNING: Node X1:X6:X4:X1:X2:X1:N002 is floating.
WARNING: Node X1:X6:X4:X1:X2:X1:N003 is floating.
WARNING: Node X1:X6:X4:X2:X1:N002 is floating.
WARNING: Node X1:X6:X4:X2:X1:N003 is floating.
WARNING: Node X1:X6:X4:X2:X2:X1:N002 is floating.
WARNING: Node X1:X6:X4:X2:X2:X1:N003 is floating.
WARNING: Node X1:X7:X1:X1:X1:N002 is floating.
WARNING: Node X1:X7:X1:X1:X1:N003 is floating.
WARNING: Node X1:X7:X1:X2:X1:N002 is floating.
WARNING: Node X1:X7:X1:X2:X1:N003 is floating.
WARNING: Node X1:X7:X1:X3:N002 is floating.
WARNING: Node X1:X7:X1:X3:N003 is floating.
WARNING: Node X1:X7:X2:X1:X1:N002 is floating.
WARNING: Node X1:X7:X2:X1:X1:N003 is floating.
WARNING: Node X1:X7:X2:X2:X1:N002 is floating.
WARNING: Node X1:X7:X2:X2:X1:N003 is floating.
WARNING: Node X1:X7:X2:X3:N002 is floating.
WARNING: Node X1:X7:X2:X3:N003 is floating.
WARNING: Node X1:X7:X3:X1:X1:N002 is floating.
WARNING: Node X1:X7:X3:X1:X1:N003 is floating.
WARNING: Node X1:X7:X3:X2:X1:N002 is floating.
WARNING: Node X1:X7:X3:X2:X1:N003 is floating.
WARNING: Node X1:X7:X3:X3:N002 is floating.
WARNING: Node X1:X7:X3:X3:N003 is floating.
WARNING: Node X1:X7:X5:X1:N002 is floating.
WARNING: Node X1:X7:X5:X1:N003 is floating.
WARNING: Node X1:X7:X5:X2:N002 is floating.
WARNING: Node X1:X7:X5:X2:N003 is floating.
WARNING: Node X1:X7:X5:X3:N002 is floating.
WARNING: Node X1:X7:X5:X3:N003 is floating.
WARNING: Node X1:X7:X5:X4:N002 is floating.
WARNING: Node X1:X7:X5:X4:N003 is floating.
